timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1441243825643,0,44,9.66796875E-6,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825653,0,34,7.4707031250000005E-6,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825653,0,83,1.82373046875E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825667,0,118,2.5927734375E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825668,0,93,2.04345703125E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825668,0,74,1.6259765625E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825669,0,80,1.7578125E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825669,0,18,3.955078125E-6,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825669,0,-291,-6.39404296875E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825669,0,33,7.2509765625E-6,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825670,0,98,2.1533203125E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825670,0,85,1.86767578125E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825671,0,34,7.4707031250000005E-6,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825671,0,-312,-6.85546875E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825671,0,-162,-3.5595703125E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825672,0,-308,-6.767578125E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825672,0,-84,-1.8457031250000004E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825673,0,-80,-1.7578125E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825673,0,-309,-6.78955078125E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825674,0,-206,-4.5263671875E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825674,0,-375,-8.23974609375E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825674,0,9,1.9775390625E-6,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825675,0,39,8.5693359375E-6,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825675,0,38,8.349609375E-6,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825675,0,19,4.1748046875E-6,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825676,0,-332,-7.294921875E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825676,0,-154,-3.3837890625E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825676,0,-362,-7.954101562500001E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825677,0,-273,-5.998535156250001E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825677,0,23,5.0537109375E-6,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825677,0,8,1.7578125E-6,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825678,0,-266,-5.8447265625E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825678,0,-276,-6.064453125E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825678,0,-276,-6.064453125E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825678,0,7,1.5380859375E-6,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825679,0,44,9.66796875E-6,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825679,0,38,8.349609375E-6,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825679,0,20,4.39453125E-6,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825680,0,24,5.2734375E-6,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825680,0,-262,-5.7568359375E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825681,0,-309,-6.78955078125E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825681,0,-325,-7.14111328125E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825682,0,-308,-6.767578125E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825682,0,-305,-6.70166015625E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825682,0,-317,-6.96533203125E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825683,0,-328,-7.207031249999999E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825683,0,-321,-7.053222656250001E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825683,0,-330,-7.2509765625E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825684,0,-362,-7.954101562500001E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825684,0,-139,-3.0541992187500004E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825684,0,-341,-7.492675781250002E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825685,0,-268,-5.8886718750000006E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825699,0,-259,-5.69091796875E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825699,0,-280,-6.15234375E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825700,0,-311,-6.833496093750001E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825700,0,-340,-7.470703125E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825701,0,-343,-7.53662109375E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825701,0,-328,-7.207031249999999E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825701,0,-330,-7.2509765625E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825702,0,-306,-6.723632812500001E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825702,0,-310,-6.8115234375E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825702,0,-295,-6.48193359375E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825703,0,-260,-5.712890625E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825703,0,3,6.591796875E-7,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825703,0,-277,-6.0864257812500005E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825703,0,-325,-7.14111328125E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825704,0,-371,-8.151855468750001E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825704,0,-378,-8.3056640625E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825704,0,-346,-7.6025390625E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825705,0,-310,-6.8115234375E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825705,0,-284,-6.240234375E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825705,0,-295,-6.48193359375E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825706,0,-299,-6.56982421875E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825706,0,-278,-6.108398437500001E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825706,0,19,4.1748046875E-6,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825707,0,16,3.515625E-6,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825707,0,22,4.833984375E-6,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825707,0,36,7.91015625E-6,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825708,0,4,8.7890625E-7,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825708,0,-291,-6.39404296875E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825709,0,-310,-6.8115234375E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825709,0,-295,-6.48193359375E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825709,0,9,1.9775390625E-6,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825719,0,34,7.4707031250000005E-6,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825720,0,23,5.0537109375E-6,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825720,0,-269,-5.9106445312499996E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825720,0,-278,-6.108398437500001E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825721,0,-262,-5.7568359375E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825721,0,-258,-5.6689453125000004E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825721,0,-282,-6.1962890625E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825722,0,-321,-7.053222656250001E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825722,0,-132,-2.900390625E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825722,0,-171,-3.75732421875E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825723,0,-381,-8.371582031250001E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825723,0,-308,-6.767578125E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825723,0,-274,-6.0205078124999997E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825724,0,-299,-6.56982421875E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825724,0,-329,-7.229003906250001E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825725,0,-342,-7.5146484375E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825725,0,-322,-7.0751953125E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825725,0,-325,-7.14111328125E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825726,0,-333,-7.316894531249999E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825726,0,-305,-6.70166015625E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825753,0,-321,-7.053222656250001E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825754,0,-356,-7.822265625E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825754,0,-350,-7.6904296875E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825755,0,-310,-6.8115234375E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825755,0,-265,-5.82275390625E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825755,0,23,5.0537109375E-6,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825756,0,37,8.1298828125E-6,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825756,0,-268,-5.8886718750000006E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825756,0,-279,-6.13037109375E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825757,0,-266,-5.8447265625E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825757,0,1,2.197265625E-7,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825758,0,25,5.4931640625E-6,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825758,0,51,1.1206054687499999E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825758,0,73,1.6040039062500002E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825759,0,91,1.99951171875E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825759,0,91,1.99951171875E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825759,0,34,7.4707031250000005E-6,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825760,0,-326,-7.163085937500001E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825760,0,-361,-7.93212890625E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825760,0,-289,-6.35009765625E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825779,0,51,1.1206054687499999E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825779,0,26,5.712890625E-6,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825780,0,3,6.591796875E-7,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825780,0,60,1.318359375E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825780,0,90,1.9775390625E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825798,0,76,1.669921875E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825799,0,21,4.614257812500001E-6,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825799,0,-260,-5.712890625E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825800,0,4,8.7890625E-7,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825800,0,-262,-5.7568359375E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825801,0,-298,-6.5478515625E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825801,0,-350,-7.6904296875E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825801,0,-337,-7.40478515625E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825802,0,11,2.4169921875E-6,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825802,0,55,1.20849609375E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825802,0,8,1.7578125E-6,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825803,0,-278,-6.108398437500001E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825803,0,-275,-6.04248046875E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825803,0,-261,-5.73486328125E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825803,0,9,1.9775390625E-6,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825817,0,16,3.515625E-6,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825818,0,27,5.9326171875000005E-6,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825818,0,43,9.448242187500001E-6,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825818,0,8,1.7578125E-6,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825819,0,-292,-6.416015625000001E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825819,0,-315,-6.92138671875E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825819,0,-310,-6.8115234375E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825820,0,-259,-5.69091796875E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825820,0,20,4.39453125E-6,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825820,0,-285,-6.26220703125E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825833,0,-364,-7.998046875E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825834,0,-364,-7.998046875E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825834,0,4,8.7890625E-7,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825834,0,53,1.1645507812500002E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825835,0,-265,-5.82275390625E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825835,0,-334,-7.338867187500001E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825835,0,-338,-7.426757812499999E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825836,0,-317,-6.96533203125E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
